"","X.1","X","Decade","Negatives","Positives","n","prev","log.zscore","lower","upper","pr"
"1",1,9,1920,0,0,0,0,0,0,0,1
"2",2,10,1930,0,0,0,0,0,0,0,1
"3",3,1,1940,157,0,157,0,0,0,0.0232221646033252,1.13300295681901e-08
"4",4,2,1950,152,0,152,0,0,0,0.0239768209037916,2.02899515516782e-08
"5",5,3,1960,153,2,155,1.29032258064516,0.07,0.00156647825822792,0.0458318896003843,1.4303786855435e-08
"6",6,4,1970,169,4,173,2.3121387283237,0.56,0.00633491390621567,0.0581392853232574,1.75578425257578e-09
"7",7,5,1980,177,13,190,6.8421052631579,0.66,0.0369316925088177,0.114160237073889,2.42159361324256e-10
"8",8,6,1990,54,11,65,16.9230769230769,1.55,0.0876260548814743,0.282656158495948,0.000513275378493538
"9",9,7,2000,34,4,38,10.5263157894737,2.52,0.0294345174457877,0.248049379217022,0.0119349403426361
"10",10,8,2010,21,6,27,16.6666666666667,1.44,0.0862169399475667,0.422583060044379,0.0430061117825554
