"","Decade","Negatives","Positives","n","prev","log.zscore","lower","upper","pr"
"1",1920,1,0,1,0,0,0,0,0.89
"2",1930,30,0,30,0,0,0,0,0.0303179756172363
"3",1940,53,0,53,0,0,0,0,0.0020781187085996
"4",1950,0,0,0,0,0,0,0,1
"5",1960,40,0,40,0,0,0,0,0.00945366624540205
"6",1970,1258,34,1292,2.63157894736842,1.089942801,0.0182917534954948,0.0365808486844477,4.09155680650367e-66
"7",1980,13,1,14,7.14285714285714,1.437750563,0.00180678065912539,0.338684489931821,0.195641098664044
"8",1990,46,19,65,29.2307692307692,1.045223505,0.186028951836799,0.418258675838776,0.000513275378493538
"9",2000,23,4,27,14.8148148148148,0.697431762,0.0418873964737673,0.337310864024244,0.0430061117825554
"10",2010,349,38,387,9.82,1.35,0.0704261778996908,0.13228035918441,2.59377662194779e-20
