,Decade,neg,pos,tot,lower,upper,prob,prev,lowerc,upperc
1,1890,62,0,62,0,0.057762634,0.000728082,0,0,5.776263443
2,1900,27,0,27,0,0.127702868,0.043006112,0,0,12.77028676
3,1910,110,0,110,0,0.032979194,2.71E-06,0,0,3.297919403
4,1920,61,0,61,0,0.058681224,0.00081807,0,0,5.868122393
5,1930,172,0,172,0,0.021218623,1.97E-09,0,0,2.121862263
6,1940,208,1,209,0.000121131,0.026368837,2.65E-11,0.469483568,0.01211305,2.6368837
7,1950,259,2,261,0.000929356,0.02740512,6.18E-14,0.751879699,0.092935583,2.740511951
8,1960,186,5,191,0.00855339,0.060030398,2.16E-10,2.577319588,0.855339046,6.0030398
9,1970,175,4,179,0.006121422,0.056224617,8.73E-10,2.197802198,0.612142225,5.622461714
10,1980,206,12,218,0.028763101,0.094179289,9.27E-12,5.429864253,2.876310052,9.417928887
11,1990,213,15,228,0.037286334,0.106188875,2.89E-12,6.493506494,3.728633441,10.61888747
12,2000,121,17,138,0.073426516,0.189897311,1.04E-07,11.64383562,7.342651614,18.9897311
13,2010,36,2,38,0.006438717,0.17749059,0.01193494,4.761904762,0.643871672,17.74905903
