"","Year","neg","pos","tot","yrc"
"1",1893,12,0,12,0
"2",1894,10,0,10,1
"3",1895,5,0,5,2
"4",1896,1,0,1,3
"5",1897,28,0,28,4
"6",1898,6,0,6,5
"7",1903,1,0,1,10
"8",1904,4,0,4,11
"9",1906,1,0,1,13
"10",1907,8,0,8,14
"11",1908,8,0,8,15
"12",1909,5,0,5,16
"13",1910,11,0,11,17
"14",1911,45,0,45,18
"15",1912,11,0,11,19
"16",1913,20,0,20,20
"17",1914,1,0,1,21
"18",1915,3,0,3,22
"19",1916,1,0,1,23
"20",1917,4,0,4,24
"21",1918,13,0,13,25
"22",1919,1,0,1,26
"23",1920,3,0,3,27
"24",1922,3,0,3,29
"25",1923,10,0,10,30
"26",1924,3,0,3,31
"27",1925,1,0,1,32
"28",1926,15,0,15,33
"29",1927,7,0,7,34
"30",1928,12,0,12,35
"31",1929,7,0,7,36
"32",1930,3,0,3,37
"33",1932,10,0,10,39
"34",1933,7,0,7,40
"35",1934,34,0,34,41
"36",1935,9,0,9,42
"37",1936,5,0,5,43
"38",1937,58,0,58,44
"39",1938,16,0,16,45
"40",1939,30,0,30,46
"41",1940,41,0,41,47
"42",1941,23,0,23,48
"43",1942,20,0,20,49
"44",1943,25,0,25,50
"45",1944,22,0,22,51
"46",1945,10,0,10,52
"47",1946,22,0,22,53
"48",1947,17,0,17,54
"49",1948,12,1,13,55
"50",1949,16,0,16,56
"51",1950,14,1,15,57
"52",1951,28,1,29,58
"53",1952,52,0,52,59
"54",1953,62,0,62,60
"55",1954,10,0,10,61
"56",1955,20,0,20,62
"57",1956,18,0,18,63
"58",1957,23,0,23,64
"59",1958,6,0,6,65
"60",1959,26,0,26,66
"61",1960,11,0,11,67
"62",1961,28,1,29,68
"63",1962,51,3,54,69
"64",1963,12,1,13,70
"65",1964,17,0,17,71
"66",1965,11,0,11,72
"67",1966,5,0,5,73
"68",1967,17,0,17,74
"69",1968,17,0,17,75
"70",1969,17,0,17,76
"71",1970,40,0,40,77
"72",1971,35,1,36,78
"73",1972,13,0,13,79
"74",1973,19,0,19,80
"75",1974,13,0,13,81
"76",1975,12,2,14,82
"77",1976,9,1,10,83
"78",1977,21,0,21,84
"79",1978,11,0,11,85
"80",1979,2,0,2,86
"81",1980,12,0,12,87
"82",1981,20,0,20,88
"83",1982,26,0,26,89
"84",1983,18,0,18,90
"85",1984,20,1,21,91
"86",1985,12,0,12,92
"87",1986,12,1,13,93
"88",1987,36,7,43,94
"89",1988,25,2,27,95
"90",1989,25,1,26,96
"91",1990,39,1,40,97
"92",1991,37,2,39,98
"93",1992,54,4,58,99
"94",1993,6,0,6,100
"95",1995,9,0,9,102
"96",1996,11,0,11,103
"97",1997,11,2,13,104
"98",1998,24,3,27,105
"99",1999,23,3,26,106
"100",2000,23,1,24,107
"101",2001,21,10,31,108
"102",2002,5,1,6,109
"103",2003,53,4,57,110
"104",2004,5,0,5,111
"105",2005,5,1,6,112
"106",2006,3,0,3,113
"107",2007,1,0,1,114
"108",2008,5,0,5,115
"109",2010,8,0,8,117
"110",2011,3,0,3,118
"111",2012,6,0,6,119
"112",2013,4,0,4,120
"113",2014,6,0,6,121
"114",2015,9,2,11,122
