"","Decade","neg","pos","n","lower","upper","prob"
"1","1900s",1,0,1,0,97.5,0.89
"2","1910s",122,0,122,0,2.97841600614287,6.69238335957465e-07
"3","1920s",12,0,12,0,26.4648469397051,0.246990403565262
"4","1930s",68,1,69,0.0366857444740834,7.81235357401634,0.000322040474968077
"5","1940s",32,1,33,0.0766912075048109,15.7593972272497,0.0213732329529074
"6","1950s",234,2,236,0.102796329410259,3.02760857800125,1.13773617825252e-12
"7","1960s",182,2,184,0.131907612133164,3.87110802780877,4.87260518109241e-10
"8","1970s",118,32,150,15.0730236512834,28.7606622610665,2.56153914299687e-08
"9","1980s",66,35,101,25.4592471142588,44.773841790332,7.73375965366031e-06
"10","1990s",84,32,116,19.695141884651,36.6567441140331,1.34660669954673e-06
"11","2000s",114,27,141,13.0148239669819,26.6240793923703,7.31123825878608e-08
